name,avgscore
dan cutforth,49.5
dan eckman,42.0
dan fogelman,58.0
dan gildark,41.0
dan gilroy,76.0
dan harris,53.0
dan ireland,50.333333333333336
dan klores,69.0
dan krauss,72.0
dan kuenster,50.0
dan mazer,50.0
dan ollman,68.0
dan rush,65.0
dan sallitt,76.0
dan scanlon,65.0
dan sickles,75.0
dan st. pierre,51.0
dan sturman,70.0
dana adam shapiro,67.0
dana brown,62.0
dana janklowicz-mann,68.0
dana lustig,34.0
dana nachman,63.0
danfung dennis,81.0
dani levy,60.0
daniel a. miller,70.0
daniel adams,41.0
daniel alfredson,53.0
daniel algrant,55.0
daniel attias,26.0
daniel auteuil,54.666666666666664
daniel b. gold,54.0
daniel barber,55.0
daniel barnz,46.75
daniel benmayor,45.0
daniel burman,61.666666666666664
daniel duran,36.0
daniel espinosa,56.0
daniel g. karslake,73.0
daniel geller,67.0
daniel gordon,71.0
daniel hsia,45.0
daniel j. sullivan,54.0
daniel junge,72.0
daniel lee,45.5
daniel lindsay,71.0
daniel lusko,11.0
daniel minahan,55.0
daniel myrick,53.5
daniel nettheim,63.0
daniel patrick carbone,69.0
daniel peddle,58.5
daniel petrie jr.,46.0
daniel pyne,47.0
daniel ribeiro,71.0
daniel sackheim,34.0
daniel schechter,61.0
daniel stamm,53.5
daniel taplitz,46.0
daniel waters,24.0
daniela fejerman,51.0
daniela thomas,66.0
daniele thompson,58.666666666666664
danielle gardner,92.0
danis tanovic,84.0
danny boyle,66.8
danny cannon,37.0
danny devito,57.5
danny jacobs,46.5
danny leiner,43.5
danny mooney,28.0
danny pang,42.25
dante ariola,42.0
dante lam,41.5
dario argento,51.166666666666664
darko lungulov,57.0
darnell martin,65.0
darragh byrne,47.0
darrell roodt,71.0
darren aronofsky,69.83333333333333
darren doane,18.0
darren grant,36.0
darren grodsky,46.5
darren lynn bousman,36.0
darren stein,39.0
darryl roberts,40.0
daryl wein,57.0
dave borthwick,23.0
dave boyle,57.0
dave filoni,35.0
dave green,53.0
dave grohl,76.0
dave lamattina,71.0
dave mckean,55.0
dave meyers,28.0
dave ohlson,63.0
dave willis,54.0
david alvarado,53.0
david andalman,30.0
david anspaugh,61.5
david atkins,45.0
david ayer,56.8
david barker,72.0
david bowers,58.0
david brooks,34.0
david bruckner,59.0
david burris,48.0
david c. thomas,75.0
david caffrey,46.0
david carson,55.0
david chase,65.0
david cronenberg,68.4
david cross,45.0
david deschamps,42.0
david dobkin,49.5
david douglas,66.0
david duchovny,33.0
david e. talbert,37.5
david evans,62.0
david fincher,71.55555555555556
david foenkinos,53.0
david fourier,44.0
david france,86.0
david frankel,57.0
david gebroe,63.0
david gelb,54.0
david gordon green,62.0
david guy levy,20.0
david hackl,31.5
david hand,95.0
david hayter,37.0
david heilbroner,70.0
david hillenbrand,8.0
david hogan,40.0
david jacobson,64.0
david jung,34.0
david kane,68.0
david kaplan,57.0
david kellogg,36.0
david kendall,28.0
david kittredge,31.0
david koepp,55.6
david l. cunningham,38.0
david lachapelle,74.0
david lane,64.0
david leaf,64.0
david lean,85.33333333333333
david lee fisher,62.0
david leitch,68.0
david leland,82.0
david levien,49.5
david lickley,66.0
david lowery,62.5
david lynch,64.0
david m. rosenthal,47.0
david mackenzie,57.142857142857146
david mamet,71.3
david mandel,45.0
david maquiling,67.0
david maysles,80.0
david mcmahon,79.0
david mcnally,21.5
david michod,73.5
david mickey evans,43.0
david mirkin,53.0
david moreau,48.0
david nixon,31.0
david o. russell,69.25
david oelhoffen,74.0
david ondaatje,17.0
david ondricek,33.0
david osit,61.0
david palmer,36.0
david peers,50.0
david posamentier,40.0
david price,18.0
david r. ellis,41.6
david raynr,30.0
david redmon,73.5
david ren,40.0
david robert mitchell,75.0
david s. goyer,40.5
david s. ward,50.5
david salzberg,61.0
david schwimmer,54.0
david seltzer,75.0
